Date,Open,High,Low,Close,Adj Close,Volume
2003-06-23,93.820000,94.430000,93.529999,94.309998,52.165501,819900
2003-06-24,94.150002,95.180000,94.010002,95.180000,52.646744,292900
2003-06-25,95.419998,95.489998,93.449997,93.660004,51.805969,1002800
2003-06-26,93.250000,93.250000,92.120003,92.400002,51.109020,1423800
2003-06-27,92.550003,92.550003,91.550003,92.070000,50.926510,735900
2003-06-30,91.919998,92.519997,91.680000,92.500000,51.164360,541900
2003-07-01,92.150002,92.489998,91.510002,91.690002,50.910587,449000
2003-07-02,91.199997,92.070000,91.110001,91.919998,51.038322,338800
2003-07-03,91.699997,91.709999,90.599998,90.599998,50.305374,559100
2003-07-07,90.279999,90.589996,90.019997,90.019997,49.983326,465400
2003-07-08,90.430000,90.480003,89.629997,90.099998,50.027718,389600
2003-07-09,90.529999,90.690002,90.110001,90.389999,50.188763,270400
2003-07-10,90.690002,90.750000,90.120003,90.360001,50.172127,718000
2003-07-11,90.300003,90.790001,90.209999,90.790001,50.410870,389500
2003-07-14,90.680000,90.870003,89.629997,89.750000,49.833412,465900
2003-07-15,89.540001,89.860001,87.400002,87.650002,48.667351,3171100
2003-07-16,87.410004,88.720001,87.150002,88.150002,48.945011,1205400
2003-07-17,87.330002,88.040001,87.180000,87.879997,48.795094,1030600
2003-07-18,87.650002,87.959999,87.440002,87.699997,48.695164,550800
2003-07-21,87.500000,87.599998,85.650002,85.839996,47.662399,1267600
2003-07-22,85.970001,86.360001,85.440002,86.260002,47.895626,1576900
2003-07-23,86.800003,87.050003,86.400002,86.550003,48.056622,1374700
2003-07-24,85.900002,86.080002,85.550003,85.790001,47.634636,701100
2003-07-25,85.980003,86.620003,85.400002,85.559998,47.506935,1273500
2003-07-28,85.239998,85.290001,84.400002,84.410004,46.868397,1268500
2003-07-29,84.180000,85.349998,83.260002,83.260002,46.229847,2139300
2003-07-30,83.739998,84.720001,83.570000,84.199997,46.751785,1963400
2003-07-31,83.690002,83.709999,82.230003,82.949997,46.057743,4706400
2003-08-01,82.099998,82.790001,81.980003,82.510002,46.023136,3061200
